[22:04:25] 18/11/2023 | UID :  1000 | Action :   OPEN | Denied : 0 | Fingerprint : ffff3c75ff66ff6803ffff3a55ff1910 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 4b171b2643ffffffff08ffffffffff35 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ff6bffffffffffff3cff79ffffff39ff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffffff453e300bff5effffff345e14ff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffffffffffffff53ff2628ffffffff53 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ff65ffff6dffffff575569ffff2fff53 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 23ffff3bff4a5445ff35ff2cffffffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 57ff73611fffff097effffffff0eff05 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff0aff3eff4dff520e4dff573225ff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 64ffff261e35ff06ffffff47ff135343 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ff48ff3473ff5fffff637d53ff71ff77 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff77ff096bff65540fffff51ffffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 62ffffffffffff41ffff2d3e22ffff0b | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 617fffffff5cffff50ff71ff4eff1849 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff3b46ffff1769ffff60ff24ffff4e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 0753ffffff5f37ffffffff7fff73ffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ff05ffff12ffff5cffffff1affffff0f | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff0010ffffff3a7774ffffff38ff5c | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 0b42ff075747ff2dff6d6cffff17ffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 5f427760ff3c5866ffff7614ff775eff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff03ffffffffff7eff7bffff30143b | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffffffffff42ffff715eff13ffffffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 0eff08ff6d68ffffff372c0e6d22ff67 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ff2c4dff55ffffff75ffffff4f2c49ff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 34ff6b25437aff56ff4fffff234fff26 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff36ffffff06ff5effff0311341852 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff03ffffff5c12ffff3fff2bff453c | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 50ffffffff7dffffff3eff5161ff596a | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 27ffffffff7aff310cff7e61ff66ff08 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff7a0aff451c4246ffffff6219171c | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffffff457affffffff6bffff20ffffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 5eff2aff0066ff3172ff667fffffff1d | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ff3affff5348ff0807ff7fff1e48ffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 43ffff37ffff484fff0eff0c67ff11ff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 2a57ff0fff0cffff26ff5f3976ffffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 480b4eff63ffffff30423974ff1fffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ff3aff7affffff3e7b7aff4878ff203b | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff3b077dff760fffff580118ff1dff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffffffffff527f3dffff0aff56ffffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 48ff111fffff28ff71ffffff59ff523c | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffffff33ffff6667ff0d6d31ffff56ff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff6f78ff36ffff29ff167bffff02ff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 0cffffff4dff50ffffffff3effff6d73 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ff5f1cff7458ffff56ff72ffffffffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 2116ffffffff28134a0bff5dff0d3aff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 5f2a62ffffffff50ffff1affffff41ff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ff02ff305b4affffffff6e552bff1c66 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 43ffffff545b49ff7cffff0060231e46 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 7effffff1a244f283b79ffff69ff3f1b | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ff335f5a773803ffffff3b44ff5e0962 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ff3b0a754dffff6cff39ff5eff7cff12 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 44ffffff55ff7564ff7015067a444aff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ff08650fff1958ff31ff19ff54ffffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffffff45ff743dff22ffffff1aff2128 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 03ffffff2bff581b534a3c0cff09ffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ff5939ffff1a3fffff3dff6348ff5e77 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff24ffffffff0eff15472c2512ffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 1e0aff3979ffffffffffff25ff5e4cff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ff25ff22ffff5affff417d3c29ff67ff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffffff7d7affff78ff3eff50ffffffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 07ffffff24ff40ff6cff1dff4fffffff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 73381c18ff32ffff4fff5a645532ff4e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff066942774f35ffff79ffffff143e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 50ff79ffff085e4836ffffffff406c5b | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[22:09:07] 18/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 20770eff347dffff0d2f71ff64ff64ff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
